Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2016/2017,Quebec,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8454
2017/2018,Quebec,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8541
2018/2019,Quebec,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8673
2019/2020,Quebec,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8901
2016/2017,Ontario,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,10773
2017/2018,Ontario,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,10881
2018/2019,Ontario,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11070
2019/2020,Ontario,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11433
2016/2017,Manitoba,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,558
2017/2018,Manitoba,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,564
2018/2019,Manitoba,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,552
2019/2020,Manitoba,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,537
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,678
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,696
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,693
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,696
2016/2017,Alberta,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2577
2017/2018,Alberta,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2595
2018/2019,Alberta,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2589
2019/2020,Alberta,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2670
2016/2017,British Columbia,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3009
2017/2018,British Columbia,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3102
2018/2019,British Columbia,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3072
2019/2020,British Columbia,"Total, institution type","Total, registration status",Doctoral or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3084
2016/2017,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,198309
2017/2018,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,203022
2018/2019,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,208725
2019/2020,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,216195
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3513
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3423
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3381
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3534
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,645
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,642
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,675
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,702
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7131
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7503
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7779
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,8067
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2052
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2040
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2088
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2130
2016/2017,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,69957
2017/2018,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,71100
2018/2019,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,73224
2019/2020,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,75282
2016/2017,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,67698
2017/2018,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,69852
2018/2019,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,73074
2019/2020,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,75588
2016/2017,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5214
2017/2018,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5202
2018/2019,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5352
2019/2020,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5397
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5625
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5664
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5739
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,5769
2016/2017,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,16221
2017/2018,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,16347
2018/2019,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,16695
2019/2020,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,18321
2016/2017,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,20238
2017/2018,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,21237
2018/2019,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,20724
2019/2020,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,21402
2016/2017,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,15
2017/2018,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,9
2019/2020,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3
2016/2017,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,113505
2017/2018,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,116178
2018/2019,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,120117
2019/2020,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,125517
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1923
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1935
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1920
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1950
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,489
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,486
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,492
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,495
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,4287
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,4437
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,4719
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,4896
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1134
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1155
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1185
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1197
2016/2017,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,40992
2017/2018,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,41730
2018/2019,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,43368
2019/2020,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,44913
2016/2017,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,37335
2017/2018,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,38400
2018/2019,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,40299
2019/2020,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,42066
2016/2017,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,2907
2017/2018,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,2931
2018/2019,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3018
2019/2020,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3138
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3339
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3351
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3408
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3414
2016/2017,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,9348
2017/2018,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,9279
2018/2019,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,9507
2019/2020,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,10650
2016/2017,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,11742
2017/2018,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,12468
2018/2019,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,12201
2019/2020,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,12795
2016/2017,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,12
2017/2018,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,6
2019/2020,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3
2016/2017,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,84723
2017/2018,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,86370
2018/2019,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,87579
2019/2020,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,89052
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1584
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1488
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1452
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1557
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,159
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,147
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,177
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,201
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2844
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3066
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3057
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3156
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,915
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,888
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,903
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,933
2016/2017,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,28962
2017/2018,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,29373
2018/2019,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,29853
2019/2020,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,30369
2016/2017,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,30315
2017/2018,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,31020
2018/2019,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,31818
2019/2020,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,32007
2016/2017,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2307
2017/2018,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2268
2018/2019,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2328
2019/2020,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2253
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2268
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2301
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2313
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2334
2016/2017,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,6870
2017/2018,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,7062
2018/2019,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,7167
2019/2020,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,7653
2016/2017,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8493
2017/2018,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8760
2018/2019,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8511
2019/2020,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,8589
2016/2017,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3
2017/2018,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,0
2019/2020,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,249450
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,252510
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,252570
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,239295
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3165
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2736
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2316
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2334
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,504
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,477
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,456
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,471
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2856
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,1704
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,1521
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,1812
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2649
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2439
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2766
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2742
2016/2017,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,124431
2017/2018,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,122790
2018/2019,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,123585
2019/2020,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,123927
2016/2017,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,60711
2017/2018,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,68724
2018/2019,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,66840
2019/2020,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,53301
2016/2017,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7173
2017/2018,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7350
